,agency,power,verb_count,av,pv
u2,17,15,33,0.5151515151515151,0.45454545454545453
u0,3,19,33,0.09090909090909091,0.5757575757575758
u3,9,7,9,1.0,0.7777777777777778
u4,3,6,15,0.2,0.4
u5,49,60,99,0.494949494949495,0.6060606060606061
u9,59,64,105,0.5619047619047619,0.6095238095238096
u11,5,7,7,0.7142857142857143,1.0
u7,-2,0,8,-0.25,0.0
u6,3,5,7,0.42857142857142855,0.7142857142857143
u10,3,3,5,0.6,0.6
u12,0,0,0,,
u23,0,0,0,,
u16,-3,7,19,-0.15789473684210525,0.3684210526315789
u24,1,2,3,0.3333333333333333,0.6666666666666666
u14,-1,1,1,-1.0,1.0
u15,0,0,0,,
u17,-1,-1,1,-1.0,-1.0
u25,0,2,2,0.0,1.0
u19,0,2,4,0.0,0.5
u18,0,0,0,,
u21,-1,-1,1,-1.0,-1.0
u20,1,0,1,1.0,0.0
u22,-1,1,1,-1.0,1.0
u30,66,64,112,0.5892857142857143,0.5714285714285714
u26,3,4,10,0.3,0.4
u42,28,32,55,0.509090909090909,0.5818181818181818
u27,13,8,28,0.4642857142857143,0.2857142857142857
u34,81,60,129,0.627906976744186,0.46511627906976744
u29,56,49,77,0.7272727272727273,0.6363636363636364
u28,0,6,6,0.0,1.0
u35,9,13,17,0.5294117647058824,0.7647058823529411
u36,9,8,14,0.6428571428571429,0.5714285714285714
u44,1,4,5,0.2,0.8
u41,7,5,15,0.4666666666666667,0.3333333333333333
u31,5,3,14,0.35714285714285715,0.21428571428571427
u47,5,3,5,1.0,0.6
u32,4,3,4,1.0,0.75
u33,-1,-1,3,-0.3333333333333333,-0.3333333333333333
u48,-1,1,1,-1.0,1.0
u39,3,5,7,0.42857142857142855,0.7142857142857143
u40,2,2,2,1.0,1.0
u38,2,2,2,1.0,1.0
u46,0,-1,3,0.0,-0.3333333333333333
u43,3,-1,3,1.0,-0.3333333333333333
u55,1,4,5,0.2,0.8
u50,4,6,9,0.4444444444444444,0.6666666666666666
u60,2,-1,3,0.6666666666666666,-0.3333333333333333
u56,-4,6,8,-0.5,0.75
u51,-1,-1,1,-1.0,-1.0
u52,0,0,0,,
u61,2,-2,2,1.0,-1.0
u57,0,0,0,,
u59,1,0,1,1.0,0.0
u75,4,3,12,0.3333333333333333,0.25
u62,2,2,2,1.0,1.0
